"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0.0779891084772089,0.432202227975419,0.0234312504458645,0,0.153967682157397,0.00109367012175524,0.492727341197004,0.367515419216816
"30",30,0.0948588668758197,0.652099988362325,0.00777652244806171,0,0.170516971136949,0.0180888242265186,0.694189895679677,0.605565777204981
"50",50,0.158867064849755,0.74634776670318,2.36684795874575e-05,0,0.232923392092068,0.0829788357762794,0.778563612077129,0.710208644620662
"70",70,0.251521180430978,0.80287757275153,3.88271637064008e-11,0,0.322191200838427,0.178063370164072,0.828618283525943,0.77374907874457
"90",90,0.365082647003726,0.839096241534999,0,0,0.429914542444037,0.296505206428145,0.860473455575646,0.814769857627033
"110",110,0.671475729753968,0.911408669394189,0,0,0.711630667541088,0.626947961196113,0.923577880863261,0.897405024756546
