"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0,0.420968944903553,0.5,0,0.076901997661955,-0.0769019976619549,0.482258614295997,0.355578205956983
"30",30,0.00738283817768882,0.591186103524701,0.425490673333972,0,0.0842370098557527,-0.069558651756892,0.63903538476298,0.538778818687148
"50",50,0.060138200166487,0.634059123635893,0.0628026051755521,0,0.136409339047522,-0.0168416860447492,0.677906137874841,0.585716925294968
"70",70,0.118683047787047,0.649366425611798,0.00121981717251884,0,0.193816093049117,0.0421658967238936,0.691725337133205,0.602554540726324
"90",90,0.192819192624023,0.670664513863476,3.6532425262692e-07,0,0.265780154029154,0.117661907028094,0.710901455536001,0.626051392796726
"110",110,0.329339781545006,0.707118624409911,0,0,0.396207087041145,0.258997381321665,0.743585318857209,0.666457826814181
