"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0.00713861164383071,0.42117975935019,0.427928073562138,0,0.0839944985522753,-0.069801705304308,0.482455241665909,0.355802034774002
"30",30,0.0408455400520808,0.600563897919677,0.149218600955395,0,0.117378838618484,-0.0361700715527662,0.647558680594775,0.549018059683362
"50",50,0.103844042848178,0.665301934665955,0.00402953908438275,0,0.179314071625525,0.0271589313698235,0.706078789455369,0.620127552636637
"70",70,0.158159258219369,0.694598036648005,2.56041844728383e-05,0,0.232236616971059,0.0822577419701638,0.732379279842661,0.652552783176123
"90",90,0.231189323869293,0.713524537142441,1.23197807511133e-09,0,0.302709473758665,0.157080039801081,0.749310757815617,0.673583025035961
"110",110,0.402240053837957,0.727547486376864,0,0,0.464765432771816,0.335722997021643,0.761825459946148,0.689206492078119
