"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0,0.0698114830952107,0.5,0.0376530776204154,0.076901997661955,-0.0769019976619549,0.145930034570121,-0.00712878647284533
"30",30,0.0697922923593617,0.22885335323784,0.0376933009934679,1.79659198629167e-09,0.145911160498968,-0.00714807018689708,0.300467342006266,0.154673497777359
"50",50,0.139068277669134,0.390492724821954,0.000188251630138914,0,0.213684993736083,0.0628383124053858,0.453768212527834,0.323299298605991
"70",70,0.239011318375522,0.586539397025028,3.38109096276185e-10,0,0.310211489925395,0.165144755275089,0.634807724859299,0.533710994898996
"90",90,0.32438987366601,0.678145540769551,0,0,0.391524803793458,0.253819720965708,0.717622964897906,0.634324014152963
"110",110,0.393260654721921,0.745126361927325,0,0,0.456361137029269,0.326224511623141,0.777477568724599,0.708842233338181
