"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0.00443764742868604,0.709328852297206,0.455046576236522,0,0.0813118962715596,-0.07248908814598,0.745561367742256,0.668915390318864
"30",30,0.0157374477353937,0.821669887658983,0.344401398394738,0,0.0925274648501283,-0.0612386634782342,0.845167400476488,0.795002555840438
"50",50,0.0744498554503805,0.842178622336117,0.0289082761947432,0,0.150490244900849,-0.00246626240883054,0.86317678684094,0.818272202625352
"70",70,0.140844780119273,0.85899257187841,0.000157944120814379,0,0.2154135805247,0.064642946040262,0.877901910280828,0.837408296420632
"90",90,0.207493913515922,0.871533467823138,4.69634285904519e-08,0,0.279929166440898,0.132709521403299,0.888861592970417,0.851715727810043
"110",110,0.396380726062889,0.877251637684297,0,0,0.459282654150242,0.329523415932293,0.893852216542676,0.858249193310737
