"","lib_sizes","x_xmap_y_means","y_xmap_x_means","x_xmap_y_Sig","y_xmap_x_Sig","x_xmap_y_upper","x_xmap_y_lower","y_xmap_x_upper","y_xmap_x_lower"
"10",10,0.032451683121202,0.250559309926287,0.204406612078055,4.60522731060564e-11,0.109081457179393,-0.0445615222426645,0.321270895651644,0.177069171628148
"30",30,0.0676417037554802,0.521418860774201,0.0424274067506889,0,0.143795707473906,-0.00930871581820188,0.575254226996418,0.463085745739575
"50",50,0.140544855752953,0.652832929835196,0.000162718458781796,0,0.21512177847498,0.0643382373520238,0.694850542172824,0.606373397062759
"70",70,0.238740111617893,0.730008214346751,3.53884477277688e-10,0,0.309951525878231,0.164864967411167,0.764018886957521,0.691951758739415
"90",90,0.331789909755532,0.777718306910201,0,0,0.398523459066784,0.261561740157655,0.806391564181538,0.745397086331516
"110",110,0.629873860216047,0.858534050488263,0,0,0.674122343555864,0.581120501756434,0.87750082558344,0.836885746708943
