x_xmap_y_mean,x_xmap_y_sig,x_xmap_y_conf_1,x_xmap_y_conf_2,y_xmap_x_mean,y_xmap_x_sig,y_xmap_x_conf_1,y_xmap_x_conf_2
0.037545669,0.169605587,0.114118169,-0.039470293,0.209405009,3.55E-08,0.281769486,0.134671719
0.058308961,0.068772586,0.134607369,-0.018676785,0.317881619,0,0.385363133,0.247018161
0.07035178,0.036534901,0.146461393,-0.006585849,0.420899257,0,0.482193614,0.355504217
0.082387349,0.01786435,0.158286483,0.005520326,0.485251101,0,0.541930016,0.424178062
0.043931041,0.131695884,0.120426193,-0.033082722,0.500176974,0,0.555704033,0.440207381
0.015016714,0.351179788,0.091812685,-0.061956832,0.497553485,0,0.55328521,0.43738717
