x_xmap_y_mean,x_xmap_y_sig,x_xmap_y_conf_1,x_xmap_y_conf_2,y_xmap_x_mean,y_xmap_x_sig,y_xmap_x_conf_1,y_xmap_x_conf_2
0.027896943,0.238850674,0.104574594,-0.049110413,0.223870769,3.96E-09,0.295682268,0.149543325
0.045189284,0.124974054,0.121668466,-0.031823304,0.475628049,0,0.533033418,0.413863845
0.082509974,0.017726856,0.158406851,0.005643787,0.609434454,0,0.655610149,0.558717727
0.14912159,6.78E-05,0.223460993,0.073057396,0.683578892,0,0.722500084,0.640338586
0.214339501,1.71E-08,0.286518771,0.139740871,0.723995006,0,0.758657487,0.685245172
0.433719415,0,0.494139925,0.369129316,0.777968797,0,0.806613257,0.745678788
