x_xmap_y_mean,x_xmap_y_sig,x_xmap_y_conf_1,x_xmap_y_conf_2,y_xmap_x_mean,y_xmap_x_sig,y_xmap_x_conf_1,y_xmap_x_conf_2
0.032717265,0.202493635,0.10934415,-0.044296183,0.232863242,9.38E-10,0.304315662,0.15880507
0.067754994,0.042166584,0.143907164,-0.009194914,0.499168733,0,0.554774559,0.439123397
0.136858437,0.000233521,0.211534104,0.060594174,0.64153729,0,0.684661187,0.593937496
0.235549237,6.03E-10,0.306892127,0.161574024,0.725544,0,0.760039026,0.686972152
0.33336542,0,0.40001251,0.263211228,0.776942007,0,0.805704458,0.744524129
0.62419255,0,0.668982291,0.574886033,0.855402065,0,0.874760459,0.833317463
