x_xmap_y_mean,x_xmap_y_sig,x_xmap_y_conf_1,x_xmap_y_conf_2,y_xmap_x_mean,y_xmap_x_sig,y_xmap_x_conf_1,y_xmap_x_conf_2
0,0.5,0.076901998,-0.076901998,0.421722473,0,0.482961404,0.356378286
0.036758357,0.174721483,0.113339966,-0.04025744,0.600177299,0,0.647207541,0.548595642
0.109171854,0.002665494,0.184524668,0.032543072,0.664812306,0,0.705638269,0.619586934
0.173171279,4.50E-06,0.246786764,0.097568624,0.6904861,0,0.72869459,0.647992341
0.240611186,2.58E-10,0.311744819,0.166795485,0.720338078,0,0.755394659,0.681169778
0.39815936,0,0.460947491,0.331404726,0.746411827,0,0.778620567,0.710280317
