x_xmap_y_mean,x_xmap_y_sig,x_xmap_y_conf_1,x_xmap_y_conf_2,y_xmap_x_mean,y_xmap_x_sig,y_xmap_x_conf_1,y_xmap_x_conf_2
0,0.5,0.076901998,-0.076901998,0.07241867,0.032504911,0.148493685,-0.004508436
0.070790448,0.03564712,0.146892772,-0.006145003,0.226942369,2.44E-09,0.298632536,0.152705436
0.139137314,0.000186979,0.213752177,0.062908433,0.374412034,0,0.438683017,0.306330213
0.236642403,5.03E-10,0.307940417,0.162701288,0.559764981,0,0.610391432,0.504583827
0.320594124,0,0.387931921,0.249852062,0.661395954,0,0.702563687,0.615816003
0.391833135,0,0.455024007,0.324715715,0.698620739,0,0.735981867,0.657017208
