x_xmap_y_mean,x_xmap_y_sig,x_xmap_y_conf_1,x_xmap_y_conf_2,y_xmap_x_mean,y_xmap_x_sig,y_xmap_x_conf_1,y_xmap_x_conf_2
0.022876721,0.280216726,0.099603489,-0.054120489,0.180355578,1.85E-06,0.2537383,0.104908632
0.05851377,0.068083217,0.13480915,-0.018471346,0.32543764,0,0.392516211,0.254915359
0.084030913,0.016095036,0.159899616,0.007175283,0.474880718,0,0.532341972,0.4130635
0.111218364,0.002263629,0.186525029,0.034612403,0.570030555,0,0.619764264,0.51573664
0.143373717,0.000122585,0.217873501,0.067212789,0.62969069,0,0.67395669,0.580919408
0.196823648,2.12E-07,0.269644274,0.121764697,0.648792117,0,0.691207419,0.601922063
